"Geneid","SRR1177960.","SRR1177967.","SRR1177968.","SRR1177971.","SRR1177984.","SRR1177985.","SRR1177986.","SRR1178023.","SRR1178049."
"NM_022952",999,1009,918,895,1046,1036,1009,960,1049
"NM_001100830",1179,1389,1233,1344,1173,1126,1210,1100,1189
"NM_001106229",78,115,102,178,94,58,97,70,69
"NM_001012064",981,2030,1690,1907,1178,1192,1083,796,868
"NM_001169579",4,6,14,16,7,20,4,3,2
"NM_001172809",488,283,234,272,313,289,292,417,390
"NM_001135742",1134,526,658,931,688,548,739,815,1120
"NM_031508",24,24,36,28,116,49,85,38,30
"NM_053628",873,897,885,993,857,705,858,879,981
"NM_021694",1412,1211,1263,1541,1851,1602,1670,1389,1566
"NM_001107493",870,819,819,517,293,331,302,743,833
"NM_173294",13733,7339,9837,19021,13021,12917,13005,11558,14385
"NM_001012065",517,482,442,448,394,396,407,453,489
"NM_017093",2189,1872,1791,1887,1271,1341,1485,1998,2063
"NM_012693",11639,12892,19403,28541,6978,9202,8417,7029,9956
"NM_012787",0,0,0,0,0,0,0,0,0
"NM_001100845",10,16,12,10,26,10,12,4,2
"NM_001164656",0,2,0,0,6,0,0,0,0
"NM_031675",9868,4688,4077,6079,5839,5757,6045,8649,8954
"NM_001082549",18,22,15,23,5,16,14,20,18
"NM_199087",0,0,0,0,0,0,0,0,0
"NM_130824",59,84,41,74,124,102,123,41,51
"NM_001191623",69,40,71,61,358,275,325,43,65
"NM_001100991",86,94,118,128,71,64,75,80,107
"NM_001127579",273,154,283,349,212,210,214,258,301
"NM_001098240",762,590,697,768,556,515,502,847,684
"NM_144749",10,10,1,16,17,10,14,8,4
"NM_172317",4,6,10,10,34,8,9,12,4
"NM_001107504",8,2,0,0,2,2,2,9,6
"NM_001127599",281,213,253,339,368,384,336,277,328
"NM_001009641",1631,717,881,1128,842,879,998,1375,1371
"NM_001106246",238,231,284,283,180,171,204,242,275
"NM_012831",986,1639,1760,1327,982,876,931,1269,1120
"NM_001106248",666,640,540,613,430,453,510,634,644
"NM_001100821",28,44,82,34,205,169,223,42,28
"NM_001107507",670,694,943,642,592,538,625,787,602
"NM_023098",2262,2059,1764,1708,1830,1555,1704,4489,3491
"NM_001270985",3,0,0,0,2,0,0,0,0
"NM_022797",19,6,14,16,23,14,18,12,20
"NM_001039665",25,7,14,12,28,29,27,29,32
"NM_212521",0,0,0,4,0,2,0,0,0
"NM_138529",1794,1409,786,1798,2115,2334,1901,1390,1222
"NM_203334",0,0,0,0,0,0,2,0,0
"NM_053427",0,0,0,0,0,0,0,0,0
"NM_001107518",707,756,566,647,753,816,754,728,841
"NM_001107520",1060,943,995,1416,1032,861,1080,790,1352
"NM_001271493",9,20,10,6,6,0,0,10,22
"NM_017295",0,0,0,0,0,0,0,0,0
"NM_024370",0,0,0,0,0,0,0,0,0
"NM_001191837",694,835,748,766,567,545,535,701,1013
"NM_001141935",18,41,34,54,190,81,154,4,16
"NM_012832",0,0,0,2,0,0,0,0,0
"NM_001037733",0,0,0,0,0,0,0,0,0
"NM_031780",3,0,0,0,8,14,6,2,8
"NM_001037734",0,0,0,0,0,0,0,0,0
"NM_001100846",723,693,939,1058,831,879,809,683,920
"NM_012999",1571,1081,619,890,1725,1545,1699,1996,2154
"NM_001014020",166,210,169,208,167,145,179,156,162
"NM_001108915",104,128,107,146,96,93,107,77,124
"NM_001127561",0,0,0,6,15,6,8,2,0
