"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_134432",75502.6240539358,1.3333944259018,0.100068509241456,2.35453975104232e-41,6.00571906730981e-39
"NM_201988",10242.1316770053,1.80245916925385,0.13626337615772,5.37436387712598e-41,1.33968234100722e-38
"NM_080771",93.168903855211,4.6236952564202,0.358613291221218,6.50236342656308e-39,1.58484271250097e-36
"NM_178096",1676.77372749231,-3.56892246115369,0.278569882241105,7.25872859693264e-39,1.73073337502516e-36
"NM_019340",5723.84320225613,3.23757654255618,0.253000619953234,1.05083924626441e-38,2.45225635170809e-36
"NM_001013904",105164.58976743,2.27420377344234,0.178423203108696,2.17085649545705e-38,4.96040709211935e-36
"NM_053403",773.295247268497,-2.34092756447272,0.184337757015388,4.35992436139533e-38,9.75911232567019e-36
"NM_001034140",2835.48628522646,2.13766781320434,0.168408998509624,5.08820669148805e-38,1.11614901984482e-35
"NM_001024979",715.487135177196,2.49136765538699,0.196707662874382,6.47000287981253e-38,1.39143120756439e-35
"NM_012737",3162.07834088256,-2.97132102304977,0.235158502537539,8.80635191126763e-38,1.85746284159199e-35
"NM_001008562",2272.08113261916,4.62091929274852,0.371280718042507,8.29112735506661e-37,1.71579405340322e-34
"NM_133315",14658.4169778984,1.82102703643904,0.146138466720407,1.09071720584083e-36,2.21536783586337e-34
"NM_017064",1413.13677016798,1.67401457450287,0.134666801967504,1.64303971155365e-36,3.27651991933098e-34
"NM_198747",642.836884326216,-2.67213470125978,0.217513973882379,6.99581999051379e-36,1.37018131528492e-33
"NM_138900",12607.8387430869,-2.41124804444713,0.196636128027107,1.01354820128871e-35,1.95028011784818e-33
"NM_001013071",2934.26217867474,-2.40873989165209,0.196982765242481,1.48855313927415e-35,2.81490531578601e-33
"NM_012753",698.447918761135,-3.07951111323843,0.252451374731694,1.91239177629815e-35,3.55510389871833e-33
"NM_012941",13635.9038331532,-2.80986762689014,0.234319661846347,2.17472203267006e-34,3.97539187572086e-32
"NM_001047965",483.094644976629,-4.63089783289653,0.389897611163539,9.27292467263685e-34,1.66730225917182e-31
"NM_001013427",7325.14694237985,-1.6024915795689,0.134898704315479,1.50326937278908e-33,2.65933201302429e-31
"NM_031853",10313.324196384,-2.4851460995608,0.209998371606625,1.88096108046002e-33,3.27466367150563e-31
"NM_012552",585.120210067198,-2.94709866826449,0.249584895892128,1.99110407686917e-33,3.41225461173454e-31
"NM_139095",1740.34419783469,-2.40332152490397,0.203898632156218,2.95686467702807e-33,4.98936796579137e-31
"NM_001109241",3127.63182242988,1.88300097020403,0.160142828620391,5.50124987827387e-33,9.14207707044057e-31
"NM_001009399",12881.0161696326,-1.61386202870653,0.13778006218241,1.0593601969307e-32,1.73418845372177e-30
"NM_022220",19885.1977218315,-2.51978985241217,0.215893942140183,1.14046237079548e-32,1.83949871807129e-30
"NM_053380",2410.61714749697,-2.36906667373615,0.203845430851406,2.16992781305694e-32,3.44924177588529e-30
"NM_031332",8509.73380704575,-2.06724786803382,0.178025017539626,2.7124621941514e-32,4.25004076363607e-30
"NM_013096",10920.9558413165,-3.37546278816426,0.291016153741775,2.76071437223775e-32,4.26472045559206e-30
"NM_013132",2587.08033632076,2.27901798664283,0.197177391387381,4.86442414035487e-32,7.41013944047392e-30
"NM_017047",22247.5640365182,-1.24335619523558,0.1077537666017,1.00212321678357e-31,1.50565581392907e-29
"NM_001271297",224.574998800647,2.69470912693715,0.235026303322313,1.13151721791694e-31,1.67709200623149e-29
"NM_019152",1624.82601230353,1.91814237697882,0.166879219157501,1.16808037429412e-31,1.70820073936772e-29
"NM_001111269",665.789330229714,-3.96793231500968,0.35069128059748,6.58199361865887e-31,9.49885605387507e-29
"NM_057137",4253.4078555372,-1.32195496750493,0.116326816687806,7.742861288283e-31,1.10290522869984e-28
"NM_012898",387336.535917111,-1.74304049667776,0.154851169411994,1.87115142692745e-30,2.63112677571028e-28
"NM_053607",8546.49756990855,-1.80591051845033,0.161761283869212,4.1258903899746e-30,5.72819820218246e-28
"NM_021576",4991.20423652056,-1.65495586572814,0.148150249897618,5.24328070498313e-30,7.18853784653187e-28
"NM_001106321",6298.44577624589,-1.5068506688227,0.136098252983872,1.76504194361348e-29,2.38999753550032e-27
"NM_019345",92.6841660670817,4.94192594465555,0.446675662734004,2.0910778480202e-29,2.79694412647384e-27
"NM_001134555",21572.379586401,-1.94106841378101,0.176980625321318,4.00208668187091e-29,5.28854056948918e-27
"NM_001044245",1511.22533733325,1.4008532485604,0.12972911231367,4.08667103219389e-28,5.3360247477503e-26
"NM_001012164",2382.91560868215,1.67571303999287,0.155962830036534,6.14989491021098e-28,7.93553498531694e-26
"NM_001107239",2221.71619670025,1.59651924283557,0.149298129581336,1.09544386985251e-27,1.39707306564446e-25
