"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001134425",3117.62300428812,4.85925351155162,0.417815609631701,1.55883067766935e-32,8.54005386761151e-30
"NM_001127533",4765.82296558724,-1.76777469400543,0.155284294745199,4.1829607257579e-31,2.10767053846736e-28
"NM_001304776",816.338199470456,-2.46652249092534,0.217050772329108,4.23188389580011e-31,2.10767053846736e-28
"NM_001039031",7342.81906185696,-3.17097743504608,0.285926399693663,7.88164696510343e-30,3.75474807811471e-27
"NM_201424",374.550413102149,5.62812274799696,0.513991584174177,4.24217634918472e-29,1.93673026075071e-26
"NM_001025623",14859.4280051127,4.33669806627723,0.40107312156701,2.30337843514603e-28,1.0095247005558e-25
"NM_019345",158.164915178375,5.73380963820053,0.53458022367479,6.43936313857309e-28,2.71369622728251e-25
"NM_017306",46943.8392846568,4.11055827293029,0.383699487862072,9.2702621132108e-28,3.76200970275744e-25
"NM_031561",1494.4775261445,4.61624836625813,0.449224455774758,4.88720757930581e-26,1.91246905165906e-23
"NM_017080",12936.5351533717,-3.48587726270383,0.340364114176847,8.87924376044545e-26,3.35482323735175e-23
"NM_053611",3596.35374807015,1.93154966899371,0.190298422466586,2.6657454390374e-25,9.73619092517761e-23
"NM_019157",1520.24622224932,5.01970004342539,0.496993965301885,2.7702638038683e-25,9.79154209644675e-23
"NM_001108041",4142.49232466743,3.97483222999832,0.394667536680392,3.7509042775192e-25,1.28433306777431e-22
"NM_001191698",1294.82100766255,2.98380870580934,0.29674626271371,5.30145710179136e-25,1.76024440800994e-22
"NM_001109093",462.984033598384,1.81691860404718,0.180867560487128,8.27703582636341e-25,2.6673965161607e-22
"NM_053487",10787.5335125528,3.97273562131766,0.398928581365923,1.1366896708618e-24,3.55848820675222e-22
"NM_001170340",528.044317326908,1.88775877707457,0.190054303835251,2.40798468944034e-24,7.32896895616607e-22
"NM_198747",664.572615498826,-2.21837786986586,0.228803839365625,2.20917992135598e-23,6.54215794548581e-21
"NM_130756",1596.3460124394,2.22701309880489,0.230698016122541,3.39198608605029e-23,9.78052409075081e-21
"NM_001025639",1303.39988466128,9.36578476300767,0.986003276360473,7.99017431963028e-23,2.2448292312869e-20
"NM_001106481",862.955377133373,3.49516494786443,0.366649937331727,8.67951466308333e-23,2.3775360540851e-20
"NM_001100474",328.584799424224,-2.9866786576485,0.31391808820988,1.18282934664422e-22,3.16103930516603e-20
"NM_175766",10793.4711719938,1.47270052073067,0.154408054364637,1.5238134801595e-22,3.97533911954945e-20
"NM_172224",1783.63507863513,2.60268324796668,0.278240775477378,5.44193939439916e-22,1.38668209173097e-19
"NM_017004",42509.691135983,-2.21070832615573,0.236385073812539,5.78162949773297e-22,1.43975714560591e-19
"NM_012813",173.996182030829,-5.29209118742636,0.563516215519823,6.91328788607495e-22,1.68330878594941e-19
"NM_012804",27970.4580734126,2.10017358112383,0.226682897223365,1.23080445047235e-21,2.93172268778817e-19
"NM_133586",78.2403243495865,2.77518597016466,0.29990265401761,1.62248650608617e-21,3.78246481855025e-19
"NM_001109203",1510.36225910423,2.95551183852467,0.320237691148437,1.68368931975509e-21,3.84337164094928e-19
"NM_001191778",5989.33459307829,-2.25180710264431,0.246694822911951,4.47483650278119e-21,1.00062823593824e-18
"NM_133618",27224.6554026945,2.15175533838628,0.236496359510966,5.02053105594239e-21,1.10019917559922e-18
"NM_133515",377.543245016174,-3.95624831283048,0.43497062411028,5.48849520163528e-21,1.1791655279278e-18
"NM_001191068",326.601759242741,2.08195017974215,0.229625653379164,9.34262181287316e-21,1.96859821545483e-18
"NM_001170467",2280.25142209974,4.68031285038948,0.525632729538142,2.81660521078254e-20,5.82293269708384e-18
"NM_031736",64681.4162083709,1.48408262808925,0.165433993483078,4.05175132633993e-20,8.22130357087159e-18
"NM_173295",4799.58727912805,-4.46606562485476,0.506769486173307,5.90346710674347e-20,1.17607798342888e-17
"NM_001004085",12599.8180663096,3.31408039474449,0.37595619670166,6.1661887422549e-20,1.20648089373012e-17
"NM_001008753",941.292488931749,8.5646698079595,0.978270099219333,8.05556935974085e-20,1.54850655218738e-17
"NM_001011952",2370.2043242429,-1.48042083838728,0.167256577605193,8.65170548583413e-20,1.63442650014284e-17
"NM_001109604",6441.74274823643,-1.86067015384302,0.214031971732038,2.85723477365961e-19,5.3062239686421e-17
