"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"NM_001107974",1102.60683229187,-0.103325648169519,0.229583421518883,0.625117349077587,0.736620776570915
"NM_001107977",96.7992017334123,0.868321385654933,0.29790481446606,0.00123264494102833,0.00465124241330945
"NM_001107978",477.298874154742,-0.121925302856688,0.152513662565399,0.40949145128051,0.547302033483683
"NM_001107979",59.7455081681638,1.17033691571457,0.406443676491859,0.000798638482079417,0.00318671275049362
"NM_001107980",23.1022288354191,0.960463469046041,0.538333852022936,0.0168413385015528,0.0433641179283844
"NM_001107981",26.2718660215322,-0.13789358853603,0.39574894065448,0.657460143703266,0.761887227463929
"NM_001107982",445.723429123669,-0.0757313511390237,0.179269737692832,0.658845978927852,0.762848678566564
"NM_001107983",245.959708186358,-0.146876392098199,0.254143732436796,0.527168168571468,0.656309307813162
"NM_001107984",275.070445774315,-0.335577180937692,0.176559806022532,0.0474139800450782,0.103004079001117
"NM_001107985",593.027751933042,-1.52534589935681,0.247524839958183,1.04464828657361e-10,1.6259469005067e-09
"NM_001107986",1613.14493274368,0.0456938590247767,0.146820179191045,0.750508270709508,0.832432702491682
"NM_001107989",14.8016678736383,0.839827222567549,0.810586257149132,0.0540809020626073,0.114521773245388
"NM_001107990",62.4758276490142,0.0358143329732932,0.353393149753616,0.905496125241215,0.939042781993087
"NM_001107993",264.802040331406,-0.36958794360153,0.256016903745747,0.114021756126641,0.206360008243054
"NM_001107994",125.0083674663,3.57570645557888,0.32242782258459,1.43380103811905e-29,2.66662691377633e-27
"NM_001107995",267.281340940803,0.100481772495904,0.191733568459582,0.584152455058976,0.703303147834337
"NM_001107996",569.292614610873,-0.0232636414484292,0.250546266896981,0.918053531098037,0.94758737623354
"NM_001107998",844.633699366097,-0.346548861020537,0.301897732593743,0.191898278424737,0.30879891613941
"NM_001107999",503.436456179824,-0.509389666443714,0.18082194124032,0.00320536411922189,0.0105908102259187
"NM_001108000",9.23792434018553,0.970789122798334,1.00393660757022,0.0379112555308716,0.0855967503992293
"NM_001108001",8.32423617584335,-0.125400519814542,0.484560921445628,0.695906179230444,0.792216879831483
"NM_001108002",278.297226669973,-0.287669083988642,0.273777315236922,0.243053892675697,0.372022648114162
"NM_001108003",342.242720085324,1.98393067754787,0.273621347217047,4.77227908597107e-14,1.31243655163811e-12
"NM_001108004",427.803043283112,-0.0596326572411875,0.226932368513909,0.776387950429818,0.851147729232084
"NM_001108005",839.649548073501,0.057081287401412,0.133803450047553,0.663904231455056,0.76720165042998
"NM_001108006",1958.52085285552,-0.322162313727193,0.193027177519913,0.0790974253124738,0.155071654092152
"NM_001108007",1825.89712314305,-0.105018102714831,0.313150912584617,0.700672705935702,0.795909068554084
"NM_001108008",1805.87336107558,0.392650905270211,0.203410099289242,0.0414202527130328,0.092079504258531
"NM_001108009",331.25527922836,0.50903278626107,0.339322478926951,0.0804284594578071,0.157287735810108
"NM_001108010",272.174481829674,-0.301726153593145,0.2126943960942,0.131301477946649,0.230211304942649
"NM_001108012",748.957641216841,0.0720384154395032,0.224546167115532,0.733990720010341,0.820839805409037
"NM_001108014",1362.34118762602,-0.454932863530706,0.131006932584626,0.000372070715797396,0.00161948907752671
"NM_001108015",142.519625646142,2.05185867559127,0.26748211560379,1.69549160482055e-15,5.65490254702002e-14
"NM_001108017",183.303186935878,1.26040422706999,0.326292305196349,2.20275633507962e-05,0.000128499974826309
"NM_001108018",418.502926080085,-0.033934042250235,0.149900080007738,0.814823680145827,0.877418749918948
"NM_001108019",268.817085039874,0.256006589504937,0.215277791915349,0.206952247156411,0.327925921739681
"NM_001108021",42.7311835216504,-0.253164668033369,0.340005111370737,0.380171838158321,0.518794376335189
"NM_001108022",31.4748479655785,-0.249367803450806,0.343868745703486,0.390525309048022,0.528731325369675
"NM_001108023",429.996645469213,-0.309519056061776,0.187393808356393,0.0831982051761653,0.161213665711251
"NM_001108025",30.8054193584783,-0.302647818564121,0.390269601604987,0.333008733483369,0.4708979466147
"NM_001108027",26.2814581484339,-0.203377797487848,0.371477351125771,0.501920308093902,0.633971340186604
"NM_001108028",348.068891190206,-0.76985916224476,0.168494510384638,2.1507551633056e-06,1.57394090301312e-05
"NM_001108029",397.327492223299,0.144038172359856,0.217759408290479,0.486261607948819,0.619427516139121
"NM_001108030",1584.50879739718,-0.376325206902937,0.15952502233399,0.0145525073661223,0.0382753267805514
