"","SRR1177967","SRR1177968","SRR1177971","SRR1178064","SRR1178074","SRR1178075"
"NM_001170551",2253.71709046705,2398.29034647131,2463.40718892821,2768.37192519272,2500.75400853019,2454.22185109639
"NM_001170554",170.060703529748,230.344270565041,271.544885015838,232.116148003861,181.873018802196,238.667446069924
"NM_001170562",56.1365429127323,54.1986518976567,57.0094233734909,41.2650929784642,27.6496143449284,43.5305404781622
"NM_001170563",340.121407059495,171.064495051979,175.529014071011,131.532483868855,127.188225986671,185.380060312173
"NM_001170565",424.326221428594,611.42854172044,489.080842625211,773.720493346205,683.867128131229,773.042356767363
"NM_001170566",2126.58433151762,2381.35326775329,2344.88759823069,2387.70144246639,1952.06277275194,2462.47764325604
"NM_001170568",1707.21133446368,1204.22629685106,799.632175212385,846.966033382979,1082.63601057253,631.94336349332
"NM_001170573",643.91916870487,770.637081669806,792.130935294821,872.240902832288,748.997330810393,755.029719328123
"NM_001170575",222.895096859378,440.364046668461,432.07141925172,534.382954071112,562.823260887875,562.894919976235
"NM_001170577",254.265517898846,418.345844335038,285.047116867454,179.503154456319,154.837840331599,240.919025749829
"NM_001170584",3903.14080722644,5777.23755071584,4479.74047876957,5674.46609820106,5537.29609947766,4676.53099516256
"NM_001170586",1385.25175011125,1554.82382631403,1575.26038268856,1510.81821667402,1424.87679257531,1377.21623754186
"NM_001170589",733.077207448621,601.266294489629,831.137382866156,504.981575323956,436.863906649868,469.829626540164
"NM_001170590",1173.91417679272,1002.67506010665,1042.67234854148,1237.95278935393,1092.46698456184,1155.8109023512
"NM_001170594",37.9747202056718,20.3244944616213,79.5131431261846,354.879799614792,147.464609839618,235.66533983005
"NM_001170595",36.3236454141209,13.5496629744142,10.5017358845904,10.3162732446161,10.4454098636396,15.0105311993663
"NM_001170596",4126.03590408582,5077.73619966171,4695.77618839543,5401.60067088097,4288.76240283556,4467.1340849314
"NM_001170600",208.03542373542,188.001573769997,2034.33626564352,428.641153313797,508.13846807235,238.667446069924
"NM_001170601",4043.48216450827,4290.16203927389,4403.22783161041,4163.64788152704,4551.74095704954,3913.24548367479
"NM_001170602",19.8128974986114,27.0993259488284,54.008927406465,328.573302841022,133.332584729988,239.417972629892
"NM_001170605",59.4386924958342,42.3426967950443,58.5096713570038,30.4330060716174,21.505255601611,36.7758014384474
"NM_001170708",2555.86377732087,2936.88944970427,2238.36999140127,2034.88489750052,2317.65211797933,1923.59957319879
"NM_001170749",19.8128974986114,15.2433708462159,9.00148790107751,7.73720493346205,7.3732304919809,14.260004639398
"NM_001171177",23.1150470817133,20.3244944616213,40.5066955548488,21.6641738136937,43.6249470775537,27.0189561588593
"NM_001171802",16.5107479155095,6.77483148720709,12.0019838681033,18.5692918403089,12.2887174866348,12.008424959493
"NM_001171981",208.03542373542,201.551236744411,297.049100735558,441.020681207337,350.842884243425,533.624384137471
"NM_001172056",508.531035797692,509.806069412333,421.56968336713,460.105786709876,480.488853727422,540.379123177186
"NM_001172063",39.6257949972228,59.279775513062,42.0069435383617,35.0753290316946,44.8538188262172,57.0400185575918
"NM_001172067",33.021495831019,15.2433708462159,12.0019838681033,11.8637142313085,97.0808681444152,73.5516028768947
"NM_001172079",14.8596731239585,3.38741574360354,3.00049596702584,59.8343848187732,28.2640502192601,78.0547622367046
"NM_001172084",1518.98880822687,3163.84630452571,2017.83353782487,1010.47896431014,1032.25226887733,1087.51298539409
"NM_001172088",3.3021495831019,18.6307865898195,24.0039677362067,16.5060371913857,18.4330762299523,32.2726420786375
"NM_001172089",665.383140995032,860.4035988753,663.10960871271,554.499686898113,562.823260887875,424.798032942065
"NM_001172103",99.0644874930569,155.821124205763,93.0153749778009,261.001713088786,260.520810716659,234.164286710114
"NM_001172120",74.2983656197927,54.1986518976567,78.0128951426717,111.931564704084,102.610791013401,188.382166552047
"NM_001172127",5935.61387562566,4974.4200194818,7475.73570184487,6578.17163442943,6804.87730822404,7301.12237537175
"NM_001172137",1860.76129007792,3129.97214708967,3356.0547391184,3387.34831986968,3727.16801369635,4352.30352125625
"NM_001172150",184.920376653706,162.59595569297,154.525542301831,171.765949522857,169.584301315561,138.847413594138
"NM_001172151",231.150470817133,293.011461821707,180.02975802155,229.537079692707,184.330762299523,197.388485271666
"NM_001172305",49.5322437465285,44.0364046668461,51.0084314394392,65.508335103312,71.2745614224821,87.8116075162927
"NM_001172809",467.254166008919,396.327642001615,408.067451515514,576.163860711807,479.87441785309,499.100162378928
"NM_001173334",1231.70179449701,1751.29393944303,864.142838503441,566.363401129422,779.104688652649,541.880176297122
"NM_001173336",143.643506864933,155.821124205763,111.018350779956,92.3306455393137,81.1055354117899,93.0652934360709
"NM_001173339",6960.9313211788,7350.69216361969,6151.01673240296,5820.44136461238,7471.54023187398,7047.44439810246
"NM_001173341",485.415988715979,413.264720719632,546.090265998702,677.263338509044,545.004620532255,581.658083975443
"NM_001173344",47.8811689549775,10.1622472308106,28.5047116867454,24.2432421248477,24.5774349732697,21.7652702390811
"NM_001173349",1829.39086903845,2106.9725925214,1920.31741889653,2144.23739389345,2254.36522292316,2491.7481790948
"NM_001173354",866.814265564248,1173.73955515863,903.149286074777,806.216754066745,866.969018682088,760.283405247902
"NM_001173355",39.6257949972228,44.0364046668461,70.5116552251071,75.3087946856972,117.971687871694,96.8179262359124
"NM_001173370",1170.61202720962,540.292811104765,756.124983690511,869.146020858903,905.678478764987,911.139243801533
"NM_001173371",445.790193718756,321.804495642337,363.060012010126,365.196072859409,297.386963176563,315.221155186692
"NM_001173374",632.361645164013,763.862250182599,636.105145009477,530.772258435496,589.858439358472,579.406504295538
"NM_001173376",4053.38861325758,3279.01843980823,2577.42603567519,3688.58349861247,3784.92498588353,3011.11255859287
"NM_001173380",667.034215786583,752.006295079987,666.110104679736,706.148903593969,677.722769387911,804.564472286032
"NM_001173382",75.9494404113437,79.6042699746833,141.023310450214,166.607812900549,149.307917462613,186.130586872142
"NM_001173384",102.366637076159,128.721798256935,105.017358845904,115.026446677469,86.6354582807756,113.329510555215
"NM_001173386",217.941872484725,30.4867416924319,54.008927406465,41.2650929784642,24.5774349732697,43.5305404781622
"NM_001173388",137.039207698729,125.334382513331,189.031245922628,315.677961285251,271.58065645463,281.447459988118
"NM_001173426",345.074631434148,416.652136463236,379.562739828768,325.994234529868,301.073578422554,262.68429598891
"NM_001173427",483.764913924428,179.533034410988,232.538437444502,124.826906259854,89.7076376524343,143.350572953948
"NM_001173429",49.5322437465285,28.7930338206301,57.0094233734909,44.8757886140799,52.8414851925298,54.7884388776869
"NM_001173430",681.893888910542,992.512812875838,846.139862701286,933.106914975523,836.247224965501,813.570791005652
"NM_001173432",657.127767037278,514.887193027739,811.634159080489,839.228828449517,664.819616026945,889.373973562452
"NM_001173433",1552.01030405789,1070.42337497872,1138.6882194863,1551.05168232802,1397.84161410471,1562.59629785403
"NM_001173436",2283.43643671496,2593.06675172851,2256.37296720343,2142.17413924453,2645.76087487248,2605.07768965002
"NM_001173437",313.70421039468,121.946966769728,94.5156229613138,70.1506580633892,497.078622334379,125.337935514708
"NM_001173449",79.2515899944456,282.849214590896,264.043645098274,483.833215172493,479.259981978759,409.036975182731
"NM_001173450",338.470332267945,196.470113129006,262.543397114761,236.242657301708,263.592990088317,189.883219671983
"NM_001173451",1353.88132907178,1542.96787121141,1455.24054400753,1452.01545917971,1633.17055397377,1620.38684297159
"NM_001173471",158.503179988891,294.705169693508,261.043149131248,173.31339050955,174.499788310215,223.656914870557
"NM_001173472",1284.53618782664,1624.2658490579,1180.69516302467,1742.41855101565,1639.92934859142,1450.76784041875
"NM_001173507",2336.27083004459,2271.26225608618,2679.44289855407,2561.53064663817,2539.46346861309,2470.73343541569
"NM_001173509",105.668786659261,33.8741574360354,72.0119032086201,57.2553165076191,101.381919264737,97.5684527958808
"NM_001173510",458.998792051164,394.633934129813,466.577122872517,532.319699422189,568.967619631193,454.819095340798
"NM_001173511",1043.4792682602,1022.99955456827,952.657469530703,900.610654254982,914.280581005632,905.135031321786
"NM_001173527",501.926736631488,670.708317233502,516.085306328444,580.806183671884,604.604900342434,583.909663655348
"NM_001173528",2129.88648110072,2186.57686249609,2028.33527370946,1996.19887283321,2159.12766240174,1780.99952680481
"NM_001173554",716.566459533112,589.410339387017,604.599937355706,471.969500941185,606.448207965429,496.098056139055
"NM_001173555",79.2515899944456,125.334382513331,117.019342714008,85.1092542680825,55.9136645641885,59.2915982374968
"NM_001173556",1649.4237167594,1896.95281641798,1414.73384845268,1201.84583299777,1330.86810380255,1426.75099049976
"NM_001173557",222.895096859378,558.923597694585,730.620767970791,431.220221624951,384.63685733167,275.443247508371
"NM_001173558",1644.47049238475,1558.21124205763,1426.73583232078,1047.10173432853,1156.98275136667,1098.77088379361
"NM_001173739",513.484260172345,706.276182541339,486.080346658185,526.129935475419,603.990464468102,517.112799818168
"NM_001173972",161.805329571993,86.3791014618904,294.048604768532,155.259912331472,113.670636751372,122.335829274835
"NM_001173974",1258.11899116182,1651.36517500673,1554.25691091938,2438.76699502724,1742.54013960482,1937.10905127822
"NM_001173983",843.699218482535,1226.24449918448,1014.16763685473,552.952245911421,584.942952363818,556.890707496489
"NM_001173986",255.916592690397,301.480001180715,303.050092669609,224.89475673263,233.485632246062,281.447459988118
"NM_001177321",371.491828098964,550.455058335576,393.064971680384,332.183998476637,446.080444764845,491.594896779245
"NM_001177442",457.347717259613,414.958428591434,529.58753818006,495.181115741571,416.587522796921,344.491691025456
"NM_001177613",475.509539966673,364.147192437381,316.552324521226,310.519824662943,338.55416675679,307.715889587009
"NM_001177682",66.042991662038,28.7930338206301,79.5131431261846,44.3599749518491,27.6496143449284,39.7779076783206
"NM_001177684",419.372997053941,689.339103823321,807.13341512995,916.600877784137,1136.70636751372,1225.60987242826
"NM_001177687",884.976088271309,809.592362721247,657.108616778658,472.485314603416,572.654234877183,444.311723501242
"NM_001177688",176.665002695952,259.137304385671,184.530501972089,231.0845206794,207.064889649797,171.870582232744
"NM_001177817",13.2085983324076,8.46853935900886,3.00049596702584,3.61069563561562,4.91548699465393,2.25157967990494
"NM_001177825",16.5107479155095,15.2433708462159,16.5027278186421,9.80045958238526,19.047512104284,6.75473903971482
"NM_001177826",4.95322437465285,10.1622472308106,12.0019838681033,3.61069563561562,15.9753327326253,9.75684527958808
"NM_001177829",457.347717259613,181.22674228279,211.534965675321,225.926384057092,223.654658256754,171.870582232744
"NM_001177830",94.1112631184041,49.1175282822514,64.5106632910555,119.152955975315,86.6354582807756,32.2726420786375
"NM_001178071",2820.03574396902,3616.06630629678,3780.62491845255,4220.90319803466,4164.03192034621,3929.75706799409
"NM_001178072",1216.84212137305,1050.0988805171,1350.22318516163,1175.02352256177,1044.54098636396,1079.25719323443
"NM_001184973",158.503179988891,597.878878746026,153.025294318318,31.9804470583098,15.3608968582935,37.5263279984157
"NM_001185025",407.815473513084,586.022923643413,426.070427317669,299.687737756097,377.263626839689,392.525390863428
"NM_001185046",341.772481851046,514.887193027739,483.07985069116,441.020681207337,476.1878026071,441.309617261368
"NM_001190380",211.337573318521,174.451910795583,471.077866823056,289.37146451148,173.270916561551,436.05593134159
"NM_001190459",133.737058115627,57.5860676412603,139.523062466701,185.692918403089,138.862507598974,135.094780794296
"NM_001190993",3.3021495831019,13.5496629744142,12.0019838681033,33.5278880450022,12.9031533609666,34.5242217585424
"NM_001190994",397.909024763779,579.248092156206,336.055548306894,435.862544585029,389.552344326324,373.011700304252
"NM_001190998",59.4386924958342,37.261573179639,73.512151192133,133.595738517778,85.4065865321121,140.348466714075
"NM_001190999",148.596731239585,121.946966769728,114.018846746982,161.449676278241,173.270916561551,197.388485271666
"NM_001191000",596.037999749893,362.453484565579,574.594977685448,621.039649325887,882.944351414713,568.899132455982
"NM_001191052",658.778841828829,807.898654849445,1242.2053303487,1658.85673773426,1375.72192262877,1310.41937370468
"NM_001191064",363.236454141209,501.337530053325,585.096713570038,588.027574943115,628.567899441372,540.379123177186
"NM_001191066",141.992432073382,106.703595923512,190.531493906141,517.361103217495,238.401119240716,344.491691025456
"NM_001191067",1000.55132367988,872.259553977913,1011.16714088771,1010.99477797237,1309.36284820094,1072.50245419472
"NM_001191068",642.268093913319,474.238204104496,478.579106740621,138.753875140086,112.441765002709,113.329510555215
"NM_001191071",465.603091217368,653.771238515484,589.597457520577,522.003426177573,612.592566708747,602.672827654556
"NM_001191072",90.8091135353022,96.541348692701,103.517110862391,138.238061477855,154.837840331599,162.113736953156
"NM_001191073",1358.83455344643,1119.54090326097,1645.77203791367,2555.3408826914,2275.25604265044,2226.81230342599
"NM_001191075",6.6042991662038,10.1622472308106,19.5032237856679,3.61069563561562,13.5175892352983,3.75263279984157
"NM_001191076",6.6042991662038,23.7119102052248,18.002975802155,14.9585962046933,20.2763838529475,30.0210623987325
"NM_001191077",13.2085983324076,13.5496629744142,24.0039677362067,18.5692918403089,25.1918708476014,20.2642171191445
"NM_001191080",3663.73496245156,3785.43709347696,4145.18517844619,4854.32237525409,5169.86344662728,4429.60775693299
"NM_001191083",211.337573318521,233.731686308645,121.520086664546,144.427825424625,156.066712080262,177.124268152522
"NM_001191084",587.782625792138,689.339103823321,651.107624844606,623.10290397481,729.949818706109,729.511816289201
"NM_001191085",762.796553696538,1111.07236390196,1021.6688767723,1498.95450244271,1216.58303117685,1259.38356762683
"NM_001191088",10920.208671318,13217.696231541,16615.2464174056,20008.4119579329,19220.7830208455,19098.6493715137
"NM_001191089",175.013927904401,116.865843154322,207.034221724783,238.821725612862,254.990887847673,204.143224311381
"NM_001191090",241.056919566439,250.668765026662,213.035213658834,219.220806448091,256.834195470668,222.906388310589
"NM_001191093",16.5107479155095,44.0364046668461,24.0039677362067,44.8757886140799,41.7816394545584,36.025274878479
