"","SRR1177960","SRR1178023","SRR1178049","SRR1178064","SRR1178074","SRR1178075"
"NM_001013990",488.177825480953,525.637199438196,410.341044127684,262.615959155635,206.795293215794,279.944946611813
"NM_001013991",361.788744450286,289.948261625586,337.490641365885,364.104995163988,381.919235218359,360.038187468054
"NM_001013995",94.7918107730006,154.299952093148,150.161034264116,291.911763364232,193.754148598582,330.289269435736
"NM_001013996",420.243694426969,432.378986634645,304.782297268751,476.579957750564,347.14284957246,294.438009242943
"NM_001013997",80.5730391570505,83.0845895886181,78.7973744158235,193.038424160218,160.840783612284,226.549452707653
"NM_001013998",345.990109321452,396.77130538238,502.519104765063,370.905806855269,430.357772368004,302.065936943537
"NM_001014000",750.435168619588,910.539277736489,1036.25981071375,898.23028261001,780.605656373133,755.164842358843
"NM_001014001",306.493521499369,250.94937263501,346.411098846922,272.032467651255,239.087651315558,258.586749050149
"NM_001014002",431.302739017153,561.244880690461,609.564594537502,399.15533234213,442.777910098683,312.745035724369
"NM_001014006",35211.997975144,32362.2954467013,32824.3100443877,31542.6877635239,30446.7256329849,34450.7726669644
"NM_001014007",1797.88467766125,1690.51705754801,1690.42669265644,1355.45408400847,1389.81341206291,1556.09725092125
"NM_001014008",45.816041873617,30.5208696447985,41.6288015781709,65.3924201084748,70.1737781783326,63.3117999149333
"NM_001014009",82.1529026699339,154.299952093148,107.045489772439,77.4246254084342,74.52082638407,86.9583757867758
"NM_001014010",805.730391570505,815.585461063782,808.78814494732,806.680894458145,1089.86708586702,827.630155514489
"NM_001014011",829.428344263755,747.761306297563,780.540029590704,726.117432884504,724.094029698547,662.104124411591
"NM_001014012",1006.37305770669,1044.49198339977,1034.77306780025,963.622702718485,1058.19573465379,1125.88212860773
"NM_001014013",298.594203934952,293.339469363897,310.729268922775,256.338286825221,293.115250444009,273.842604451338
"NM_001014014",808.890118596272,824.063480409559,777.566543763692,723.501736080165,733.409132996556,748.299707428308
"NM_001014015",785.192165903022,842.71512297027,981.250322914028,516.861688537385,639.637093129934,527.85259688113
"NM_001014017",20.5382256674835,20.3472464298657,23.7878866160976,13.078484021695,14.904165276814,12.204684320951
"NM_001014018",616.146770024504,846.106330708581,783.513515417716,228.611900699228,374.467152579952,261.637920130387
"NM_001014019",1867.39867222811,1999.1169617343,2063.59916394647,1919.39831502395,2045.59668424272,1746.79544343611
"NM_001014020",262.257343138635,264.514203588254,240.852351987989,298.712575055513,244.676713294363,167.814409413076
"NM_001014022",183.264167494468,169.560386915547,214.090979544879,208.732604986252,279.453098940263,215.870353926821
"NM_001014023",1643.05805339868,1595.5632408753,1228.04964655604,2382.37664939195,2525.63500753344,3047.35711638745
"NM_001014024",846.806842905472,810.498649456316,767.159343369149,996.580482453156,934.615364233545,1015.27717694911
"NM_001014025",58.4549499766837,88.1714011960846,87.7178318968601,84.7485764605834,56.5116266745864,77.0420697760031
"NM_001014027",3282.95637977159,4118.62179817864,4843.80841220288,5510.22688802052,9444.89373729434,4816.27355015528
"NM_001014028",605.087725434321,785.064591418984,744.858199666558,513.19971301131,532.823908646101,498.103678848812
"NM_001014029",270.156660703052,266.209807457409,362.765270895489,328.00837926411,308.019415720823,285.284496002229
"NM_001014030",638.264859204871,578.200919382016,559.015335478295,878.874126257901,873.756689353221,1052.65402268202
"NM_001014031",3524.67549724274,3464.11870468463,3104.31920340074,3531.71382521851,3218.05768601876,3529.44214706501
"NM_001014032",45.816041873617,64.4329470279079,62.4432023672563,38.1891733433493,67.6897506321969,101.451438417905
"NM_001014033",439.20205658157,374.728455083359,468.324017754422,449.376710985439,350.247884005129,405.042960901561
"NM_001014034",229.080209368085,242.471353289233,243.825837815001,210.825162429723,218.594424059939,178.493508193908
"NM_001014036",2995.42122042682,2948.65512846137,3825.3895164512,3720.56713449178,3581.3467146411,3187.71098607839
"NM_001014037",123.229354004901,178.038406261325,136.780348042561,253.722590020882,144.073597675869,227.312245477712
"NM_001014038",37.9167243092002,52.5637199438196,59.4697165402441,112.998101947444,220.45744471954,180.781886504087
"NM_001014039",159.566214801218,154.299952093148,175.43566379372,178.390522055919,160.219776725751,198.326120215454
"NM_001014040",1622.51982773119,1604.04126022108,1370.77696625263,1664.62944628133,1797.81493651569,2207.52227655201
"NM_001014041",238.559390445385,288.25265775643,187.329607101769,259.477122990428,210.521334534998,247.144857499258
"NM_001014043",726.737215926338,574.809711643705,481.704703975977,541.972377859039,491.837454134862,575.908541394875
"NM_001014044",129.548808056434,171.255990784703,133.806862215549,147.525299764719,353.973925324333,247.907650269317
"NM_001014045",485.018098455187,561.244880690461,515.899790986618,399.678471702998,385.645276537562,401.228997051264
"NM_001014046",2099.63860862196,2445.06077932219,2186.99882576748,1795.41428649828,1971.69686474519,1868.07949387556
"NM_001014047",186.423894520235,367.946039606737,230.445151593446,209.255744347119,193.133141712048,209.005218996286
"NM_001014048",175.364849930051,247.558164896699,289.91486813369,227.565621977492,227.288520471414,267.740262290862
"NM_001014051",176.944713442934,191.603237214568,32.7083440971343,95.2113636779393,50.3015578092473,135.01432030052
"NM_001014054",1600.40173855083,1710.86430397787,1769.22406707226,1723.22105469853,1997.77915397961,1670.51616643017
"NM_001014055",1031.65087391282,1364.96111467016,1115.05718512958,1129.98101947444,996.716052886937,896.281504819838
"NM_001014056",34.7569972834336,16.9560386915547,32.7083440971343,27.7263861259933,22.356247915221,32.8000891125558
"NM_001014057",134.288398595084,208.559275906123,220.037951198903,173.159128447241,183.197031527505,129.674770910104
"NM_001014058",83.7327661828172,42.3900967288868,34.1950870106404,161.65006250815,86.9409641147484,425.638365693166
"NM_001014059",232.239936393852,215.341691382745,166.515206312684,179.959940138523,172.018907569895,178.493508193908
"NM_001014061",807.310255083389,1176.7490851939,960.435922124942,795.171828519054,681.865561414241,692.615835213969
"NM_001014063",5207.2301384635,3603.15822195538,4235.73056057889,5781.73621631091,8872.9463947966,5743.82955854756
"NM_001014064",260.677479625752,257.731788111632,231.931894506952,282.495254868611,234.740603109821,356.224223617757
"NM_001014065",28.4375432319002,45.7813044671977,41.6288015781709,36.6197552607459,52.164578468849,51.8699083640417
"NM_001014067",489.757688993837,483.24710270931,388.039900425093,335.332330316259,354.594932210867,414.959266912334
"NM_001014068",6.31945405153338,30.5208696447985,35.6818299241465,10.462787217356,20.4932272556193,7.62792770059437
"NM_001014069",594.028680844137,732.500871475164,923.26734928729,523.139360867798,599.27164550523,561.415478763746
"NM_001014070",203.802393161951,206.863672036968,160.568234658659,143.863324238645,142.210577016267,167.051616643017
"NM_001014071",55378.9557170999,55135.9510133285,59065.3224677704,39103.6209461462,85253.0673971492,43689.7186979243
"NM_001014072",78.9931756441672,71.2153625045298,74.3371456753051,77.947764769302,88.8039847743501,118.995672129272
"NM_001014073",1699.93313986248,1997.42135786515,2343.10683168562,1603.4221410598,1596.6087052787,1418.03175954049
"NM_001014075",728.317079439222,781.673383680673,710.663112655917,836.49983802761,920.332205843265,815.425471193538
"NM_001014076",300.174067447835,510.376764615797,704.716141001893,441.529620572422,488.111412815659,387.498727190194
"NM_001014077",1499.29047372629,1047.88319113808,1388.6178812147,878.874126257901,1140.16864367627,872.634928947996
"NM_001014078",178.524576955818,239.080145550922,170.975435053202,209.778883707987,187.544079733243,147.219004621471
"NM_001014080",6545.37453387569,5141.07093127939,5544.06432446426,7184.79598215834,6906.83859203022,7155.75897592758
"NM_001014082",13304.0306419906,12691.5949606287,10670.3538902333,6220.65014007899,6053.57512993262,6187.01215795209
"NM_001014083",153.246760749684,189.907633345413,194.763321669299,147.525299764719,154.630714746945,173.153958803492
"NM_001014085",927.379882062523,854.584350054358,842.98323195796,804.065197653806,761.975449777116,992.393393847327
"NM_001014088",1085.36623335086,924.104108689732,912.860148892747,774.246254084342,774.395587507794,711.685654465455
"NM_001014089",1058.50855363184,1015.66671762413,963.409407951955,470.302285420151,538.412970624906,529.378182421249
"NM_001014090",2709.46592459493,2317.89048913553,2578.01221201958,5120.48806417401,8996.52676521685,6315.16134332208
"NM_001014093",1543.52665208703,1570.12918283797,1364.8299945986,1140.4438066918,1610.27085678245,1456.93419081352
"NM_001014094",88.4723567214672,67.8241547662189,65.4166881942685,59.637887138929,47.1965233765777,93.8235107173107
"NM_001014095",60.0348134895671,23.7384541681766,34.1950870106404,34.0040584564069,67.068743745663,34.3256746526747
"NM_001014097",943.178517191356,1069.9260414371,1168.5799300158,1205.83622680028,1096.07715473236,812.3743001133
"NM_001014098",338.090791757036,310.295508055451,291.401611047196,360.966158998781,344.658822026324,347.070710377044
"NM_001014099",72.6737215926338,86.4757973269291,66.9034311077746,74.8089286040952,64.5847161995273,80.8560336263003
